episode,outcome,reward,loss,epsilon,buffer,moves
151,W,5.48,0.044,0.469,29256,55
152,W,6.69,0.037,0.467,29488,58
153,W,3.19,0.05,0.464,29632,36
154,W,6.71,0.054,0.462,29840,52
155,W,2.88,0.051,0.46,30008,41
156,W,7.27,0.045,0.458,30224,53
157,W,2.3,0.045,0.455,30384,39
158,W,4.77,0.048,0.453,30640,64
159,W,7.54,0.044,0.451,30880,60
160,W,7.94,0.051,0.448,31120,59
161,W,1.73,0.047,0.446,31232,27
162,W,2.55,0.049,0.444,31368,33
163,W,3.18,0.048,0.442,31520,37
164,W,3.2,0.044,0.44,31680,39
165,W,3.83,0.045,0.437,31832,38
166,L,3.26,0.044,0.435,32008,44
167,L,3.35,0.04,0.433,32208,50
168,W,6.58,0.046,0.431,32408,49
169,W,4.24,0.041,0.429,32520,28
170,W,2.33,0.05,0.427,32600,19
171,W,2.08,0.04,0.424,32752,37
172,W,5.37,0.041,0.422,32952,49
173,W,10.19,0.055,0.42,33168,53
174,W,4.49,0.035,0.418,33336,42
175,W,5.69,0.04,0.416,33600,66
176,W,4.96,0.064,0.414,33744,35
177,W,4.08,0.038,0.412,33880,33
178,W,1.72,0.043,0.41,33984,26
179,W,3.4,0.044,0.408,34112,32
180,W,10.31,0.039,0.406,34392,69
181,L,3.58,0.052,0.404,34616,57
182,W,3.65,0.043,0.402,34752,33
183,W,6.04,0.054,0.4,34928,43
184,W,5.74,0.039,0.398,35136,52
185,W,4.07,0.048,0.396,35344,52
186,L,7.46,0.049,0.394,35592,63
187,W,6.75,0.044,0.392,35800,52
188,W,6.85,0.054,0.39,35976,43
189,W,3.27,0.047,0.388,36136,39
190,W,4.45,0.038,0.386,36320,46
191,W,5.4,0.035,0.384,36480,39
192,W,3.11,0.04,0.382,36648,42
193,W,6.54,0.036,0.38,36832,45
194,W,5.84,0.045,0.378,37024,47
195,W,3.6,0.049,0.376,37184,40
196,L,2.13,0.04,0.374,37352,43
197,W,4.8,0.031,0.373,37552,49
198,W,2.77,0.046,0.371,37656,26
199,W,2.76,0.049,0.369,37752,23
200,W,2.64,0.046,0.367,37904,37
201,W,5.3,0.043,0.365,38072,41
202,L,6.11,0.043,0.363,38304,58
203,L,6.0,0.042,0.361,38536,59
204,L,2.3,0.035,0.36,38728,48
205,W,4.47,0.054,0.358,38848,30
206,W,6.8,0.039,0.356,39040,48
207,W,5.91,0.036,0.354,39192,37
208,W,1.87,0.037,0.353,39312,29
209,W,9.13,0.039,0.351,39536,56
210,W,5.09,0.047,0.349,39712,44
211,W,2.57,0.043,0.347,39824,27
212,L,2.75,0.045,0.346,40016,48
213,W,9.55,0.048,0.344,40232,54
214,W,10.38,0.05,0.342,40472,59
215,L,4.59,0.036,0.34,40696,56
216,W,3.71,0.055,0.339,40840,35
217,W,2.14,0.039,0.337,40960,30
218,W,2.46,0.042,0.335,41080,30
219,W,6.74,0.039,0.334,41328,62
220,W,3.37,0.048,0.332,41456,31
221,W,3.23,0.049,0.33,41560,26
222,W,4.93,0.042,0.329,41696,33
223,W,3.16,0.042,0.327,41816,29
224,W,10.92,0.051,0.325,42064,61
225,W,5.36,0.041,0.324,42216,37
226,W,4.16,0.036,0.322,42392,44
227,W,5.82,0.054,0.321,42544,38
228,W,2.51,0.049,0.319,42664,30
229,W,2.38,0.039,0.317,42784,30
230,W,6.02,0.037,0.316,42960,44
231,W,6.03,0.036,0.314,43152,48
232,W,4.57,0.052,0.313,43296,36
233,W,4.43,0.037,0.311,43448,38
234,W,5.76,0.046,0.309,43632,45
235,W,2.95,0.048,0.308,43728,24
236,L,3.46,0.04,0.306,43952,56
237,W,8.08,0.028,0.305,44184,57
238,L,0.98,0.043,0.303,44312,32
239,W,9.3,0.034,0.302,44536,56
240,W,6.19,0.045,0.3,44704,42
241,W,8.44,0.051,0.299,44880,44
242,W,1.04,0.045,0.297,44944,15
243,W,8.92,0.045,0.296,45144,49
244,W,5.93,0.043,0.294,45352,51
245,L,0.04,0.045,0.293,45480,32
246,W,4.81,0.055,0.291,45608,31
247,W,7.32,0.039,0.29,45784,43
248,W,9.27,0.035,0.288,46008,55
249,W,6.09,0.036,0.287,46184,43
250,W,3.28,0.043,0.286,46312,32
251,W,5.92,0.049,0.284,46520,51
252,W,4.46,0.049,0.283,46696,44
253,W,4.87,0.044,0.281,46840,35
254,W,3.02,0.04,0.28,47016,43
255,W,2.86,0.037,0.279,47136,29
256,W,6.98,0.049,0.277,47328,47
257,W,6.59,0.045,0.276,47536,51
258,W,5.68,0.042,0.274,47664,31
259,W,1.04,0.037,0.273,47728,16
260,W,5.11,0.024,0.272,47896,41
261,W,2.54,0.045,0.27,48000,26
262,W,6.35,0.053,0.269,48152,38
263,L,0.92,0.045,0.268,48264,29
264,L,1.48,0.041,0.266,48400,34
265,W,5.62,0.044,0.265,48552,37
266,L,3.46,0.046,0.264,48752,50
267,W,4.5,0.047,0.262,48896,36
268,W,5.58,0.043,0.261,49096,49
269,W,8.2,0.054,0.26,49272,44
270,W,4.16,0.042,0.258,49392,29
271,L,4.63,0.045,0.257,49600,52
272,W,6.16,0.046,0.256,49816,54
273,W,4.94,0.045,0.255,49976,40
274,W,4.42,0.047,0.253,50000,42
275,W,6.54,0.045,0.252,50000,54
276,L,0.7,0.042,0.251,50000,34
277,W,1.74,0.05,0.249,50000,20
278,W,5.93,0.054,0.248,50000,46
279,W,3.16,0.043,0.247,50000,32
280,W,2.27,0.047,0.246,50000,34
281,W,3.64,0.049,0.245,50000,24
282,W,10.19,0.042,0.243,50000,47
283,W,7.05,0.044,0.242,50000,47
284,W,6.02,0.044,0.241,50000,40
285,W,3.92,0.05,0.24,50000,42
286,W,8.51,0.056,0.238,50000,50
287,L,3.5,0.048,0.237,50000,38
288,W,3.57,0.047,0.236,50000,30
289,W,2.5,0.067,0.235,50000,29
290,W,2.99,0.043,0.234,50000,30
291,W,4.95,0.04,0.233,50000,34
292,W,2.58,0.041,0.231,50000,39
293,W,4.82,0.043,0.23,50000,32
294,W,5.58,0.046,0.229,50000,38
295,L,3.04,0.043,0.228,50000,43
296,W,2.15,0.042,0.227,50000,33
297,W,4.98,0.044,0.226,50000,39
298,W,2.87,0.049,0.225,50000,34
299,W,8.14,0.061,0.223,50000,45
300,W,4.49,0.041,0.222,50000,37
301,W,3.69,0.035,0.221,50000,44
302,W,3.23,0.048,0.22,50000,31
303,W,1.85,0.062,0.219,50000,23
304,W,2.53,0.051,0.218,50000,23
305,W,3.21,0.051,0.217,50000,25
306,W,2.97,0.046,0.216,50000,35
307,W,6.28,0.05,0.215,50000,38
308,W,4.96,0.067,0.214,50000,35
309,W,5.99,0.051,0.212,50000,48
310,W,7.71,0.041,0.211,50000,53
311,W,3.27,0.063,0.21,50000,32
312,W,5.37,0.052,0.209,50000,30
313,W,4.61,0.052,0.208,50000,44
314,W,4.75,0.039,0.207,50000,45
315,W,7.7,0.041,0.206,50000,46
316,W,4.42,0.044,0.205,50000,42
317,W,10.56,0.041,0.204,50000,55
318,W,4.45,0.036,0.203,50000,31
319,L,-0.98,0.045,0.202,50000,14
320,W,3.65,0.045,0.201,50000,37
321,W,4.85,0.039,0.2,50000,41
322,W,5.39,0.038,0.199,50000,38
323,W,6.99,0.042,0.198,50000,36
324,W,5.44,0.044,0.197,50000,37
325,W,5.23,0.052,0.196,50000,32
326,W,7.51,0.044,0.195,50000,42
327,W,7.78,0.051,0.194,50000,53
328,L,-0.99,0.05,0.193,50000,19
329,W,2.52,0.044,0.192,50000,24
330,W,3.94,0.048,0.191,50000,27
331,W,4.64,0.041,0.19,50000,28
332,W,2.95,0.042,0.189,50000,32
333,W,4.25,0.046,0.188,50000,29
334,W,5.38,0.036,0.187,50000,35
335,W,7.33,0.037,0.187,50000,34
336,W,8.23,0.039,0.186,50000,44
337,W,3.84,0.05,0.185,50000,33
338,W,6.23,0.04,0.184,50000,48
339,W,6.47,0.042,0.183,50000,35
340,W,3.55,0.047,0.182,50000,20
341,W,6.39,0.052,0.181,50000,34
342,W,3.96,0.045,0.18,50000,34
343,W,7.59,0.045,0.179,50000,43
