episode,outcome,reward,loss,epsilon,buffer,moves
150,W,10.99,0.173,0.471,31688,52
151,L,1.17,0.107,0.469,31928,60
152,W,11.86,0.265,0.467,32128,49
153,W,14.59,0.227,0.464,32400,67
154,W,14.41,0.21,0.462,32672,67
155,L,-0.13,0.182,0.46,32872,51
156,L,-1.11,0.227,0.458,33064,48
157,W,10.47,0.141,0.455,33240,44
158,L,-1.68,0.222,0.453,33416,44
159,W,12.09,0.363,0.451,33608,48
160,W,11.39,0.274,0.448,33808,49
161,W,13.91,0.129,0.446,34032,55
162,L,3.78,0.138,0.444,34264,59
163,L,-0.69,0.448,0.442,34432,43
164,W,11.67,0.328,0.44,34632,49
165,W,11.08,0.156,0.437,34768,34
166,L,-0.85,0.138,0.435,35032,67
167,W,14.97,0.214,0.433,35280,61
168,W,14.7,0.24,0.431,35496,53
169,W,10.36,0.356,0.429,35624,31
170,L,0.35,0.194,0.427,35896,69
171,W,11.02,0.272,0.424,36072,44
172,L,0.89,0.183,0.422,36240,43
173,L,-0.03,0.147,0.42,36440,50
174,L,-0.41,0.37,0.418,36632,49
175,W,13.25,0.126,0.416,36816,46
176,L,-0.18,0.191,0.414,37024,52
177,L,-0.57,0.23,0.412,37160,35
178,W,10.76,0.069,0.41,37320,39
179,W,11.48,0.148,0.408,37464,35
180,W,11.65,0.124,0.406,37664,49
181,W,12.61,0.324,0.404,37912,61
182,L,1.38,0.125,0.402,38144,58
183,W,13.42,0.251,0.4,38424,69
184,W,16.36,0.25,0.398,38704,70
185,L,-1.2,0.211,0.396,38872,43
186,L,-1.96,0.209,0.394,38992,31
187,W,11.1,0.166,0.392,39160,41
188,L,-1.51,0.272,0.39,39368,52
189,L,-0.95,0.18,0.388,39528,41
190,W,11.69,0.172,0.386,39728,50
191,W,10.45,0.27,0.384,39856,31
192,W,11.64,0.216,0.382,40104,62
193,W,11.67,0.245,0.38,40272,42
194,W,12.5,0.249,0.378,40480,52
195,W,13.86,0.217,0.376,40712,58
196,W,11.46,0.265,0.374,40840,32
197,W,11.88,0.113,0.373,41032,48
198,W,11.34,0.288,0.371,41184,37
199,W,12.15,0.169,0.369,41384,49
200,W,14.31,0.212,0.367,41640,64
201,W,11.26,0.08,0.365,41832,48
202,L,0.09,0.3,0.363,42088,64
203,W,10.66,0.305,0.361,42232,36
204,L,0.59,0.226,0.36,42464,59
205,W,10.95,0.235,0.358,42616,38
206,L,-1.77,0.349,0.356,42728,28
207,W,12.37,0.434,0.354,42936,51
208,L,-1.47,0.248,0.353,43104,42
209,W,10.47,0.345,0.351,43240,34
210,L,0.61,0.351,0.349,43456,55
211,W,11.89,0.313,0.347,43648,48
212,W,11.18,0.312,0.346,43816,41
213,L,-0.55,0.35,0.344,43944,32
214,W,10.52,0.316,0.342,44024,20
215,W,11.65,0.125,0.34,44240,53
216,W,11.99,0.253,0.339,44416,44
217,W,10.91,0.275,0.337,44592,44
218,W,12.32,0.223,0.335,44800,51
219,W,15.15,0.31,0.334,45032,58
220,W,10.51,0.349,0.332,45160,32
221,W,10.76,0.251,0.33,45320,40
