episode,outcome,reward,loss,epsilon,buffer,moves
150,W,3.49,0.045,0.471,32040,63
151,W,2.62,0.056,0.469,32232,48
152,W,2.85,0.048,0.467,32464,57
153,W,2.59,0.036,0.464,32680,53
154,W,1.7,0.048,0.462,32784,26
155,W,5.0,0.035,0.46,33056,68
156,W,8.26,0.045,0.458,33320,65
157,W,4.03,0.056,0.455,33472,37
158,L,-1.62,0.071,0.453,33648,44
159,W,2.08,0.05,0.451,33816,42
160,L,-0.46,0.057,0.448,34056,61
161,W,2.57,0.043,0.446,34264,51
162,W,3.35,0.039,0.444,34472,52
163,L,-1.14,0.05,0.442,34672,50
164,W,2.93,0.055,0.44,34856,45
165,W,1.99,0.056,0.437,35024,42
166,W,3.23,0.038,0.435,35216,48
167,W,6.15,0.049,0.433,35480,66
168,W,2.95,0.087,0.431,35712,57
169,W,4.13,0.048,0.429,35944,57
170,L,0.27,0.036,0.427,36136,49
171,W,4.67,0.036,0.424,36384,61
172,W,1.5,0.057,0.422,36576,48
173,L,-0.11,0.035,0.42,36816,61
174,W,1.21,0.037,0.418,36960,35
175,W,3.43,0.042,0.416,37128,41
176,W,3.26,0.046,0.414,37312,46
177,W,1.52,0.028,0.412,37488,43
178,L,-1.98,0.042,0.41,37592,26
179,L,-0.93,0.042,0.408,37856,67
180,W,3.33,0.031,0.406,38088,57
181,W,7.31,0.033,0.404,38392,75
182,L,0.74,0.053,0.402,38608,54
183,W,3.48,0.069,0.4,38880,68
184,W,3.47,0.043,0.398,39120,60
185,W,1.7,0.039,0.396,39248,31
186,W,2.71,0.044,0.394,39408,39
187,W,2.53,0.026,0.392,39576,41
188,W,2.51,0.061,0.39,39824,62
189,W,1.89,0.034,0.388,39920,23
190,L,0.53,0.046,0.386,40080,40
191,W,5.52,0.031,0.384,40376,73
192,L,-1.15,0.059,0.382,40536,41
193,W,4.8,0.034,0.38,40768,58
194,W,1.76,0.048,0.378,40984,54
195,W,2.73,0.066,0.376,41200,53
196,D,4.55,0.03,0.374,41520,81
197,W,4.36,0.017,0.373,41760,60
198,W,1.25,0.052,0.371,41904,35
199,W,3.68,0.049,0.369,42096,48
200,W,2.09,0.067,0.367,42240,35
201,W,3.5,0.057,0.365,42512,67
202,W,4.4,0.053,0.363,42760,62
203,W,4.46,0.038,0.361,42992,57
204,W,4.59,0.037,0.36,43184,47
205,L,-1.53,0.033,0.358,43352,43
206,W,2.68,0.027,0.356,43544,47
207,W,1.1,0.042,0.354,43704,40
208,W,1.36,0.045,0.353,43824,29
209,W,1.63,0.046,0.351,43928,25
210,W,1.91,0.053,0.349,44112,46
211,W,1.46,0.028,0.347,44224,27
212,L,8.52,0.063,0.346,44528,77
213,W,3.91,0.041,0.344,44736,51
214,L,-1.29,0.051,0.342,44856,30
215,L,-1.92,0.027,0.34,45000,37
216,W,1.75,0.064,0.339,45144,35
217,W,2.86,0.028,0.337,45320,44
218,W,1.94,0.063,0.335,45496,44
219,L,0.19,0.023,0.334,45704,52
220,L,1.71,0.05,0.332,45952,63
221,W,1.71,0.026,0.33,46080,31
222,W,4.55,0.042,0.329,46312,57
223,W,3.77,0.047,0.327,46520,52
224,L,1.07,0.051,0.325,46768,62
225,W,2.04,0.034,0.324,46904,34
226,W,2.78,0.047,0.322,47088,46
227,W,2.77,0.045,0.321,47248,39
228,W,3.06,0.039,0.319,47464,54
229,W,1.78,0.039,0.317,47624,39
230,W,5.73,0.033,0.316,47832,52
231,W,2.62,0.038,0.314,48016,46
232,L,-1.12,0.066,0.313,48176,40
233,W,4.45,0.062,0.311,48400,56
234,W,3.11,0.035,0.309,48616,53
235,W,4.49,0.067,0.308,48848,58
236,W,1.76,0.034,0.306,49000,37
237,W,1.3,0.032,0.305,49152,38
238,W,1.68,0.033,0.303,49344,48
239,W,1.27,0.071,0.302,49440,23
240,W,1.85,0.022,0.3,49616,43
241,W,3.78,0.063,0.299,49832,54
242,L,0.78,0.03,0.297,50000,59
243,L,2.8,0.042,0.296,50000,61
244,W,2.88,0.042,0.294,50000,45
245,W,1.7,0.039,0.293,50000,13
246,L,1.11,0.033,0.291,50000,53
247,L,-0.13,0.051,0.29,50000,52
248,W,2.42,0.034,0.288,50000,32
249,W,2.36,0.041,0.287,50000,46
250,W,1.93,0.07,0.286,50000,38
251,L,-1.07,0.053,0.284,50000,33
252,W,2.41,0.044,0.283,50000,25
253,W,2.71,0.031,0.281,50000,44
254,W,3.44,0.042,0.28,50000,42
255,W,1.66,0.073,0.279,50000,26
256,W,3.47,0.052,0.277,50000,41
257,L,-0.25,0.036,0.276,50000,37
258,W,2.17,0.026,0.274,50000,26
259,W,1.54,0.064,0.273,50000,33
260,W,2.05,0.052,0.272,50000,40
261,L,-0.79,0.051,0.27,50000,52
262,W,2.04,0.046,0.269,50000,50
263,W,1.12,0.039,0.268,50000,20
264,L,1.46,0.042,0.266,50000,53
265,L,-0.35,0.027,0.265,50000,37
266,W,2.93,0.032,0.264,50000,39
267,W,5.08,0.055,0.262,50000,64
268,L,1.74,0.051,0.261,50000,57
269,W,4.16,0.075,0.26,50000,65
270,W,5.16,0.034,0.258,50000,55
271,W,3.86,0.051,0.257,50000,48
272,W,2.86,0.03,0.256,50000,45
273,W,3.22,0.046,0.255,50000,44
274,D,4.4,0.043,0.253,50000,81
275,W,5.81,0.028,0.252,50000,52
276,L,-1.12,0.031,0.251,50000,47
277,W,4.14,0.035,0.249,50000,58
278,W,4.8,0.041,0.248,50000,48
279,W,2.77,0.027,0.247,50000,44
280,W,3.34,0.055,0.246,50000,32
281,W,1.84,0.041,0.245,50000,47
282,L,-1.08,0.035,0.243,50000,42
283,L,0.29,0.028,0.242,50000,61
284,L,-0.23,0.043,0.241,50000,51
285,L,-0.33,0.07,0.24,50000,52
286,W,5.05,0.061,0.238,50000,60
287,W,3.02,0.036,0.237,50000,63
288,W,1.78,0.035,0.236,50000,45
289,W,1.24,0.059,0.235,50000,36
290,W,1.37,0.034,0.234,50000,36
291,L,-0.87,0.053,0.233,50000,45
292,W,1.27,0.059,0.231,50000,31
293,W,2.07,0.056,0.23,50000,34
294,L,-0.02,0.062,0.229,50000,54
295,W,2.27,0.039,0.228,50000,44
296,L,-1.97,0.059,0.227,50000,28
297,W,1.31,0.032,0.226,50000,38
298,L,-1.17,0.05,0.225,50000,45
299,W,1.22,0.058,0.223,50000,23
300,W,2.48,0.034,0.222,50000,44
301,W,1.75,0.033,0.221,50000,32
302,W,2.74,0.044,0.22,50000,29
303,L,-0.55,0.032,0.219,50000,60
304,L,-0.52,0.033,0.218,50000,62
305,L,-0.69,0.046,0.217,50000,51
306,W,3.96,0.029,0.216,50000,44
307,W,2.36,0.051,0.215,50000,44
308,W,2.71,0.036,0.214,50000,45
309,W,4.17,0.033,0.212,50000,57
310,W,4.28,0.044,0.211,50000,52
311,W,3.0,0.035,0.21,50000,47
312,W,1.35,0.03,0.209,50000,19
313,W,4.71,0.039,0.208,50000,58
314,W,2.9,0.028,0.207,50000,53
315,W,2.85,0.025,0.206,50000,46
316,W,2.66,0.034,0.205,50000,48
317,W,1.62,0.046,0.204,50000,23
318,W,4.28,0.041,0.203,50000,49
319,W,2.84,0.056,0.202,50000,41
320,W,3.37,0.057,0.201,50000,53
321,W,3.12,0.041,0.2,50000,36
322,W,2.25,0.047,0.199,50000,35
323,W,3.46,0.035,0.198,50000,35
324,W,2.04,0.065,0.197,50000,44
325,W,3.52,0.038,0.196,50000,48
326,W,2.81,0.035,0.195,50000,41
327,W,3.44,0.035,0.194,50000,43
328,W,2.12,0.019,0.193,50000,31
329,W,1.55,0.048,0.192,50000,43
330,W,3.74,0.042,0.191,50000,48
331,W,1.82,0.033,0.19,50000,47
332,W,2.58,0.03,0.189,50000,34
333,W,3.44,0.029,0.188,50000,46
334,W,6.17,0.039,0.187,50000,75
335,L,-1.02,0.021,0.187,50000,55
336,W,4.94,0.043,0.186,50000,50
337,W,2.41,0.03,0.185,50000,36
338,W,1.8,0.057,0.184,50000,31
339,W,2.28,0.032,0.183,50000,34
340,W,2.65,0.032,0.182,50000,32
341,W,1.83,0.017,0.181,50000,33
342,W,3.07,0.026,0.18,50000,31
343,W,4.12,0.041,0.179,50000,59
344,W,2.26,0.031,0.178,50000,28
345,W,4.38,0.079,0.177,50000,45
346,W,1.63,0.043,0.177,50000,54
347,W,2.0,0.062,0.176,50000,27
348,W,2.14,0.049,0.175,50000,41
349,W,3.06,0.034,0.174,50000,34
350,W,1.76,0.026,0.173,50000,39
351,L,1.23,0.043,0.172,50000,49
352,W,3.7,0.04,0.171,50000,46
353,W,2.01,0.052,0.17,50000,35
354,W,3.05,0.032,0.17,50000,36
355,W,2.09,0.039,0.169,50000,26
356,W,1.82,0.037,0.168,50000,28
357,W,2.07,0.05,0.167,50000,48
358,W,3.87,0.034,0.166,50000,37
359,L,0.99,0.038,0.165,50000,50
360,W,4.12,0.044,0.165,50000,56
361,W,2.95,0.055,0.164,50000,51
362,L,-0.73,0.023,0.163,50000,47
363,W,4.64,0.026,0.162,50000,45
364,W,4.23,0.036,0.161,50000,53
365,W,1.8,0.046,0.16,50000,33
366,W,1.4,0.038,0.16,50000,26
367,W,1.87,0.073,0.159,50000,25
368,W,1.98,0.032,0.158,50000,30
369,W,2.6,0.039,0.157,50000,52
370,W,2.58,0.035,0.157,50000,32
371,W,2.88,0.03,0.156,50000,33
372,W,1.94,0.047,0.155,50000,31
373,W,2.52,0.041,0.154,50000,46
374,W,2.89,0.025,0.153,50000,30
375,W,3.53,0.045,0.153,50000,40
376,W,4.82,0.025,0.152,50000,60
377,W,1.81,0.033,0.151,50000,39
378,W,1.45,0.051,0.15,50000,29
379,W,1.38,0.046,0.15,50000,30
380,W,2.18,0.027,0.149,50000,32
381,W,3.37,0.03,0.148,50000,44
382,W,2.48,0.031,0.147,50000,40
383,W,3.38,0.038,0.147,50000,33
384,W,3.37,0.027,0.146,50000,35
385,W,2.4,0.042,0.145,50000,39
386,W,5.86,0.017,0.144,50000,44
387,W,1.77,0.025,0.144,50000,38
388,W,2.93,0.03,0.143,50000,43
389,W,2.44,0.05,0.142,50000,39
390,W,1.59,0.036,0.142,50000,29
391,W,1.43,0.031,0.141,50000,24
392,W,2.32,0.024,0.14,50000,27
393,W,5.05,0.03,0.139,50000,46
394,W,4.25,0.036,0.139,50000,49
395,W,1.19,0.046,0.138,50000,23
396,W,2.0,0.053,0.137,50000,23
397,W,2.53,0.042,0.137,50000,39
398,W,2.01,0.041,0.136,50000,26
399,W,1.66,0.041,0.135,50000,21
400,W,1.65,0.033,0.135,50000,32
401,W,1.81,0.028,0.134,50000,25
402,W,1.3,0.019,0.133,50000,20
403,W,1.82,0.034,0.133,50000,24
404,W,2.79,0.028,0.132,50000,24
405,W,4.1,0.031,0.131,50000,36
406,W,1.79,0.047,0.131,50000,29
407,W,1.82,0.035,0.13,50000,26
408,W,4.35,0.036,0.129,50000,43
409,W,1.46,0.032,0.129,50000,42
410,W,1.86,0.037,0.128,50000,28
411,W,2.6,0.028,0.127,50000,27
412,W,4.53,0.04,0.127,50000,39
413,W,3.12,0.035,0.126,50000,41
414,W,5.43,0.03,0.126,50000,39
415,W,2.79,0.039,0.125,50000,35
416,W,2.89,0.038,0.124,50000,38
417,W,2.75,0.028,0.124,50000,55
418,W,1.27,0.046,0.123,50000,29
419,W,1.3,0.037,0.122,50000,23
420,W,2.07,0.021,0.122,50000,37
421,W,3.19,0.051,0.121,50000,38
422,W,2.81,0.039,0.121,50000,40
423,W,2.75,0.044,0.12,50000,30
424,W,2.72,0.043,0.119,50000,30
425,W,1.36,0.03,0.119,50000,25
426,W,2.19,0.036,0.118,50000,50
427,W,3.85,0.037,0.118,50000,38
428,W,3.14,0.029,0.117,50000,47
429,W,1.18,0.03,0.116,50000,24
430,W,2.77,0.024,0.116,50000,33
431,W,2.09,0.032,0.115,50000,25
432,W,1.37,0.046,0.115,50000,36
433,W,2.17,0.039,0.114,50000,42
434,W,1.79,0.054,0.114,50000,20
435,W,3.35,0.039,0.113,50000,32
436,W,2.3,0.036,0.112,50000,31
437,W,3.51,0.03,0.112,50000,29
438,W,3.03,0.046,0.111,50000,38
439,L,-1.55,0.025,0.111,50000,37
440,W,2.38,0.033,0.11,50000,36
441,W,2.72,0.033,0.11,50000,46
442,W,2.24,0.04,0.109,50000,37
443,W,1.58,0.032,0.109,50000,27
444,W,2.09,0.031,0.108,50000,30
445,W,1.48,0.029,0.107,50000,35
446,W,5.24,0.029,0.107,50000,56
447,W,1.76,0.046,0.106,50000,26
448,W,2.43,0.034,0.106,50000,30
449,W,4.07,0.026,0.105,50000,42
450,W,2.48,0.042,0.105,50000,30
451,W,1.97,0.029,0.104,50000,28
452,W,2.98,0.035,0.104,50000,31
453,W,1.34,0.034,0.103,50000,32
454,W,3.28,0.035,0.103,50000,30
455,W,2.6,0.036,0.102,50000,38
456,W,2.03,0.042,0.102,50000,30
457,W,1.97,0.032,0.101,50000,37
458,W,1.48,0.018,0.101,50000,31
